sample name,r,p-value
20190107 clasp-1 S3 48h (MTs)_6,1.01017,
20190107 clasp-1 S3 48h (MTs)_7,0.9023,
20190107 clasp-1 S3 48h (MTs)_8,0.70259,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_3,1.26914,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_4,1.22959,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_5,1.05816,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_6,0.62118,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_7,0.98129,
20200422 clasp-1 2h timelapse 48 hpd S1 (MT)_8,0.50836,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_1,0.85768,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_2,1.3728,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_3,0.58969,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_4,0.70535,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_5,0.69107,
20200422 clasp-1 2h timelapse 48 hpd S2 (MTs)_6,0.8958,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_3,1.26568,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_4,0.61468,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_5,0.50444,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_6,1.09184,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_7,0.75447,
20200422 clasp-1 2h timelapse 48 hpd S4 (MTs)_8,0.97748,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_1,0.70763,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_2,1.04118,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_3,1.04934,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_4,0.95795,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_5,0.86891,
20200422 clasp-1 2h timelapse 48hpd S3 (MTs)_6,0.48933,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_1,1.06204,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_2,1.19075,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_3,1.15706,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_4,1.13029,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_5,1.00491,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_6,0.92894,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_7,1.23056,
20190204_ktn1-2 LTi6 TUA5 48h S1_timeseries (MTs)_8,1.04522,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_1,1.03014,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_2,1.11934,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_3,0.72689,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_4,1.19213,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_5,1.2091,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_6,0.94694,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_7,0.73892,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_8,1.02883,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_1,0.72951,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_2,0.78264,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_3,0.86772,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_4,0.90687,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_5,0.96444,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_6,0.8411,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_7,0.93255,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_8,0.97484,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_1,0.84839,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_2,0.90852,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_3,1.14563,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_4,1.28471,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_5,1.00036,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_6,0.77735,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_7,0.9073,
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_8,0.91317,
group,mean,sd
WT,0.94055,0.19432
clasp,0.9053,0.2327
ktn,0.98522,0.1536
WT vs clasp with p-value of 0.5418338836052905
WT vs ktn with p-value of 0.34979855663489723
